"Summary","Description","Type","Priority","State","Subsystem","Epic","Phase","Estimation","Tag","ExternalId"
"Define a reusable metric in the metric library","**As a** HR Manager
**I want to** define a metric once (name, calculation type, source, filters, attribution) and reuse it across many KPIs
**So that** adding a new automated KPI is configuration, not a code change

### Acceptance criteria
- Given I am an HR Manager, when I create a KPI Metric Definition, then I must select a calculation type of Event Sum, Snapshot, Ratio or Duration
- Given calculation type is Ratio, when I save, then numerator and denominator expressions are both required
- Given calculation type is Duration, when I save, then duration-from and duration-to fields are both required
- Given calculation type is Event Sum or Snapshot, when I save, then a single value field is required and ratio/duration fields are hidden
- Given I am not an HR Manager or System Manager, when I open the metric library, then I have read-only access

### Notes
Implements D4. This doctype is the extensibility point for the whole feature.

---
Epic: Metric Library & Data Sources · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","Critical","Open","Metric Library & Data Sources","KPIA-E1 Metric Library & Data Sources","Phase 0","8","kpi-automation","KPIA-1"
"Preview a metric against live data before saving it","**As a** HR Manager
**I want to** see a sample of the rows a metric definition would produce, before I attach it to anyone's KPI
**So that** I catch a wrong filter or owner field before it silently feeds an appraisal

### Acceptance criteria
- Given a draft metric definition, when I click Preview, then I see up to 20 sample source rows with the resolved value, date and owner for each
- Given a metric whose owner field cannot be mapped to an employee, when I preview, then the unmapped rows are clearly flagged with the raw owner key
- Given a preview runs, when it completes, then no KPI Fact rows are written to the database
- Given a metric returns zero rows, when I preview, then I see an explicit 'no matching records' message rather than an empty success

### Notes
Highest-leverage story in Phase 0 for preventing bad data reaching appraisals. Do not descope.

---
Epic: Metric Library & Data Sources · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","High","Open","Metric Library & Data Sources","KPIA-E1 Metric Library & Data Sources","Phase 0","5","kpi-automation","KPIA-2"
"Bind a metric to a KPI with scope filters","**As a** HR Manager
**I want to** attach a metric definition to a specific KPI and narrow it (this warehouse, this territory, this campaign)
**So that** two employees can use the same metric with different scopes

### Acceptance criteria
- Given a KPI, when I add a KPI Data Source, then I select a metric definition and optionally add scope filters
- Given a KPI Data Source exists with sync enabled, when the sync job runs, then that KPI is included
- Given the metric unit differs from the KPI unit, when I save, then I am blocked with a clear message
- Given a KPI has no data source, when the sync job runs, then that KPI is untouched and continues to work manually

---
Epic: Metric Library & Data Sources · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","Critical","Open","Metric Library & Data Sources","KPIA-E1 Metric Library & Data Sources","Phase 0","5","kpi-automation","KPIA-3"
"Ship a starter metric library covering all domains","**As a** HR Manager
**I want to** a pre-built set of common metrics across sales, production, inventory, procurement, HR, finance and service
**So that** I can automate standard KPIs on day one without authoring definitions from scratch

### Acceptance criteria
- Given a fresh install, when setup runs, then at least 15 metric definitions exist spanning at least 6 business domains
- Given a seeded metric, when I inspect it, then its calculation type, source doctype and attribution strategy are populated and valid
- Given a seeded metric, when I edit it, then my changes persist and are not overwritten by a later migrate
- Given the library is seeded, when I preview any seeded metric, then it executes without error against demo data

### Notes
Proves the multi-domain claim concretely. Sales-only seeding would undercut the whole positioning.

---
Epic: Metric Library & Data Sources · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","Medium","Open","Metric Library & Data Sources","KPIA-E1 Metric Library & Data Sources","Phase 0","5","kpi-automation","KPIA-4"
"Turn automation off for a KPI and revert to manual entry","**As a** HR Manager
**I want to** disable sync on a KPI at any time
**So that** a bad source or a disputed metric never blocks an appraisal cycle

### Acceptance criteria
- Given a synced KPI, when I disable sync, then the current actual value is retained and no further facts are applied
- Given sync is disabled, when the employee opens the KPI, then manual progress entry is available again
- Given sync is re-enabled, when the next run executes, then previously ingested facts are not double-counted
- Given sync is toggled, when I check the audit log, then who changed it and when is recorded

---
Epic: Metric Library & Data Sources · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","High","Open","Metric Library & Data Sources","KPIA-E1 Metric Library & Data Sources","Phase 0","2","kpi-automation","KPIA-5"
"Nightly job ingests source transactions as KPI Facts","**As a** System
**I want to** pull qualifying source records on a schedule and write one immutable fact per record
**So that** KPI actuals reflect the source of record without anyone typing a number

### Acceptance criteria
- Given enabled data sources, when the nightly job runs, then a KPI Fact is created for every qualifying source record in the window
- Given a fact is created, when I inspect it, then it carries source system, external reference, source doctype and docname, date, value and owner
- Given a fact exists, when any user attempts to edit its value, then the edit is rejected
- Given the job completes, when I check the sync log, then counts of pulled, matched, unattributed and errored records are recorded

---
Epic: Fact Ingestion, Idempotency & Exceptions · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","Critical","Open","Fact Ingestion, Idempotency & Exceptions","KPIA-E2 Fact Ingestion, Idempotency & Exceptions","Phase 0","8","kpi-automation","KPIA-6"
"Re-running a sync never double-counts","**As a** System Administrator
**I want to** re-run or overlap a sync window safely
**So that** a retry after a failure does not inflate someone's appraisal

### Acceptance criteria
- Given a sync has run, when the identical window is re-run, then the KPI actual value is unchanged
- Given the external reference already exists, when ingestion encounters it, then the row is upserted rather than inserted
- Given overlapping hourly windows, when both run, then each source record contributes exactly once
- Given a unique constraint exists on external reference, when a duplicate insert is attempted, then it fails safely and is logged, not swallowed

### Notes
Test explicitly by running the same window three times and asserting identical actuals.

---
Epic: Fact Ingestion, Idempotency & Exceptions · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","Critical","Open","Fact Ingestion, Idempotency & Exceptions","KPIA-E2 Fact Ingestion, Idempotency & Exceptions","Phase 0","5","kpi-automation","KPIA-7"
"Cancelled or amended source documents post a reversal, not an edit","**As a** Sales Manager
**I want to** a returned or cancelled transaction to reduce the number, with the original still visible
**So that** I can see why a KPI moved instead of finding history silently rewritten

### Acceptance criteria
- Given a source document is cancelled, when the next sync runs, then a reversal fact is created linked to the original
- Given a reversal exists, when the KPI recalculates, then the actual value nets the original and the reversal
- Given a reversal exists, when the employee views progress, then both entries appear in the log with dates and reasons
- Given a source document is amended, when the next sync runs, then a reversal plus a new fact are posted, and the original fact is unmodified

---
Epic: Fact Ingestion, Idempotency & Exceptions · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","Critical","Open","Fact Ingestion, Idempotency & Exceptions","KPIA-E2 Fact Ingestion, Idempotency & Exceptions","Phase 0","8","kpi-automation","KPIA-8"
"Unmappable owners land in a visible exception queue","**As a** HR Manager
**I want to** see every source record whose owner could not be mapped to an employee
**So that** no revenue or output silently vanishes from someone's scorecard

### Acceptance criteria
- Given a source record whose owner key maps to no employee, when ingestion runs, then an attribution exception is created holding the raw owner key
- Given exceptions exist, when I open the queue, then I can filter by source, date range and status
- Given an unmapped record, when ingestion completes, then it is never silently discarded and the sync log unattributed count reflects it
- Given zero exceptions, when I open the queue, then I see an explicit empty state confirming full attribution

---
Epic: Fact Ingestion, Idempotency & Exceptions · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","High","Open","Fact Ingestion, Idempotency & Exceptions","KPIA-E2 Fact Ingestion, Idempotency & Exceptions","Phase 0","5","kpi-automation","KPIA-9"
"Resolve an exception by mapping the owner key","**As a** HR Manager
**I want to** map an unrecognised owner key to the right employee and have the facts re-attributed
**So that** fixing the mapping once repairs both history and future runs

### Acceptance criteria
- Given an exception, when I map the owner key to an employee, then the affected facts are credited and the relevant KPIs recalculate
- Given a mapping is saved, when the next sync runs, then matching records attribute automatically without a new exception
- Given I resolve an exception, when I view it later, then who resolved it, when, and the note are retained
- Given a mapping would credit a closed appraisal cycle, when I attempt it, then I am warned before proceeding

---
Epic: Fact Ingestion, Idempotency & Exceptions · Phase 0
Feature: KPI Automation — ERP-Sourced Evidence & Credit Roll-Up
Source: KPI_AUTOMATION_STRATEGY.md","User Story","High","Open","Fact Ingestion, Idempotency & Exceptions","KPIA-E2 Fact Ingestion, Idempotency & Exceptions","Phase 0","5","kpi-automation","KPIA-10"
