title,owner_department,category,visibility,acknowledge_on_joining,version,effective_from,summary
Attendance and Late Coming Policy,Human Resources,HR,All Employees,Yes,2.0,2026-07-01,"Store hours 9:30 to 18:30. The quarter-day rule for late arrival and early exit, week Monday to Sunday, first violation free, deductions from leave first."
Leave Policy,Human Resources,HR,All Employees,Yes,1.3,2026-04-01,"Casual, Earned, Sick, Compensatory Off and Loss of Pay. Application and approval rules. Festival-day compensatory off."
Category Incentive Policy,Human Resources,HR,All Employees,Yes,3.1,2026-07-01,"Incentive slabs by article category and role, paid monthly with salary, eligibility and clawback on returns."
Code of Conduct and Grooming Standards,Human Resources,HR,All Employees,Yes,1.0,2026-04-01,"Behaviour with customers and colleagues, uniform and grooming, mobile phone use on the floor, conflicts of interest."
Prevention of Sexual Harassment (POSH) Policy,Legal & Compliance,Compliance,All Employees,Yes,1.2,2026-04-01,"Internal Committee, how to complain, timelines, protection against retaliation."
Grievance Redressal Policy,Human Resources,HR,All Employees,No,1.0,2026-04-01,"How to raise a concern, who responds, escalation to HR and the Owner."
"Vault, Stock Handling and Security Policy",Central Vault & Inventory,Operations,All Employees,Yes,2.2,2026-06-15,"Two-person rule for vault, issue and return register, tray counts, CCTV, what to do in a robbery attempt."
Store Opening and Closing Checklist,Central Vault & Inventory,Operations,Reporting Managers,No,1.4,2026-06-15,"Daily checklist for Store In-charge and security: alarms, vault seal, cash, display counts."
High-Value Sale KYC and Billing Policy,Finance & Accounts,Finance,Reporting Managers,No,1.1,2026-04-01,"PAN and KYC thresholds for cash and total purchase, invoice rules, exchange and buy-back documentation."
Old Gold Exchange and Valuation Policy,Purchase & Sourcing,Operations,Department Only,No,1.0,2026-05-01,"Testing method, deduction norms, approval limits; for valuers and floor managers."
Recruitment and Selection Policy,Human Resources,HR,Reporting Managers,No,1.0,2026-04-01,"Requisition, approval, rounds, selection parameters, offer authority, referral bonus."
Performance Appraisal Policy,Human Resources,HR,All Employees,Yes,1.0,2026-07-01,"Quarterly cycle, weights (attendance 20, manager feedback 30, targets 50), rating scale, potential rating, calibration, how results are used."
"Payroll, PF and ESI Policy",Finance & Accounts,Finance,HR Only,No,1.0,2026-04-01,"Payroll calendar, statutory deductions, third-party filing arrangement, correction process."
Information Security and CCTV Policy,Information Technology,IT,All Employees,Yes,1.0,2026-04-01,"Passwords, POS access, personal devices, CCTV retention, customer data."
Marketing Brand Guidelines,Marketing,Marketing,Department Only,No,2.0,2026-05-01,"Logo, colours, festival campaign templates; for marketing and visual merchandisers."
Compensation Benchmarks FY27,Human Resources,HR,Top Leadership,No,1.0,2026-04-01,Grade bands and market benchmarks. Owner and Head - HR only.
