branch,category,period,target_inr,actual_inr,attainment
PPJ Chandigarh Sector 17,Gold,Q1 FY27 (Apr-Jun 2026),66240000,68889600,104%
PPJ Chandigarh Sector 17,Gold,Q2 FY27 (Jul-Sep 2026),72000000,25440000,July only
PPJ Chandigarh Sector 17,Diamond,Q1 FY27 (Apr-Jun 2026),27600000,28704000,104%
PPJ Chandigarh Sector 17,Diamond,Q2 FY27 (Jul-Sep 2026),30000000,10600000,July only
PPJ Chandigarh Sector 17,Silver & Fashion,Q1 FY27 (Apr-Jun 2026),8832000,9185280,104%
PPJ Chandigarh Sector 17,Silver & Fashion,Q2 FY27 (Jul-Sep 2026),9600000,3392000,July only
PPJ Chandigarh Sector 17,Platinum & Gemstone,Q1 FY27 (Apr-Jun 2026),7728000,8037120,104%
PPJ Chandigarh Sector 17,Platinum & Gemstone,Q2 FY27 (Jul-Sep 2026),8400000,2968000,July only
PPJ Ambala City,Gold,Q1 FY27 (Apr-Jun 2026),38640000,35548800,92%
PPJ Ambala City,Gold,Q2 FY27 (Jul-Sep 2026),42000000,12460000,July only
PPJ Ambala City,Diamond,Q1 FY27 (Apr-Jun 2026),16100000,14812000,92%
PPJ Ambala City,Diamond,Q2 FY27 (Jul-Sep 2026),17500000,5191667,July only
PPJ Ambala City,Silver & Fashion,Q1 FY27 (Apr-Jun 2026),5152000,4739840,92%
PPJ Ambala City,Silver & Fashion,Q2 FY27 (Jul-Sep 2026),5600000,1661333,July only
PPJ Ambala City,Platinum & Gemstone,Q1 FY27 (Apr-Jun 2026),4508000,4147360,92%
PPJ Ambala City,Platinum & Gemstone,Q2 FY27 (Jul-Sep 2026),4900000,1453667,July only
PPJ Noida Sector 18,Gold,Q1 FY27 (Apr-Jun 2026),55200000,61272000,111%
PPJ Noida Sector 18,Gold,Q2 FY27 (Jul-Sep 2026),60000000,22600000,July only
PPJ Noida Sector 18,Diamond,Q1 FY27 (Apr-Jun 2026),23000000,25530000,111%
PPJ Noida Sector 18,Diamond,Q2 FY27 (Jul-Sep 2026),25000000,9416667,July only
PPJ Noida Sector 18,Silver & Fashion,Q1 FY27 (Apr-Jun 2026),7360000,8169600,111%
PPJ Noida Sector 18,Silver & Fashion,Q2 FY27 (Jul-Sep 2026),8000000,3013333,July only
PPJ Noida Sector 18,Platinum & Gemstone,Q1 FY27 (Apr-Jun 2026),6440000,7148400,111%
PPJ Noida Sector 18,Platinum & Gemstone,Q2 FY27 (Jul-Sep 2026),7000000,2636667,July only
PPJ Delhi Karol Bagh,Gold,Q1 FY27 (Apr-Jun 2026),82800000,80316000,97%
PPJ Delhi Karol Bagh,Gold,Q2 FY27 (Jul-Sep 2026),90000000,28500000,July only
PPJ Delhi Karol Bagh,Diamond,Q1 FY27 (Apr-Jun 2026),34500000,33465000,97%
PPJ Delhi Karol Bagh,Diamond,Q2 FY27 (Jul-Sep 2026),37500000,11875000,July only
PPJ Delhi Karol Bagh,Silver & Fashion,Q1 FY27 (Apr-Jun 2026),11040000,10708800,97%
PPJ Delhi Karol Bagh,Silver & Fashion,Q2 FY27 (Jul-Sep 2026),12000000,3800000,July only
PPJ Delhi Karol Bagh,Platinum & Gemstone,Q1 FY27 (Apr-Jun 2026),9660000,9370200,97%
PPJ Delhi Karol Bagh,Platinum & Gemstone,Q2 FY27 (Jul-Sep 2026),10500000,3325000,July only
PPJ Delhi South Extension,Gold,Q1 FY27 (Apr-Jun 2026),77280000,91190400,118%
PPJ Delhi South Extension,Gold,Q2 FY27 (Jul-Sep 2026),84000000,33880000,July only
PPJ Delhi South Extension,Diamond,Q1 FY27 (Apr-Jun 2026),32200000,37996000,118%
PPJ Delhi South Extension,Diamond,Q2 FY27 (Jul-Sep 2026),35000000,14116667,July only
PPJ Delhi South Extension,Silver & Fashion,Q1 FY27 (Apr-Jun 2026),10304000,12158720,118%
PPJ Delhi South Extension,Silver & Fashion,Q2 FY27 (Jul-Sep 2026),11200000,4517333,July only
PPJ Delhi South Extension,Platinum & Gemstone,Q1 FY27 (Apr-Jun 2026),9016000,10638880,118%
PPJ Delhi South Extension,Platinum & Gemstone,Q2 FY27 (Jul-Sep 2026),9800000,3952667,July only
