attendance_device_id,timestamp,log_type,device_id
0289,2026-07-01 09:05:20,IN,ESSL-DKB-2
0031,2026-07-01 09:05:35,IN,ESSL-HO-1
0299,2026-07-01 09:06:04,IN,ESSL-DKB-1
0015,2026-07-01 09:06:07,IN,ESSL-HO-1
0134,2026-07-01 09:06:27,IN,ESSL-AMB-2
0333,2026-07-01 09:06:28,IN,ESSL-DSE-1
0250,2026-07-01 09:06:30,IN,ESSL-NOI-2
0070,2026-07-01 09:06:35,IN,ESSL-CHD-1
0040,2026-07-01 09:06:36,IN,ESSL-HO-1
0078,2026-07-01 09:06:48,IN,ESSL-CHD-2
0119,2026-07-01 09:06:59,IN,ESSL-AMB-2
0146,2026-07-01 09:07:01,IN,ESSL-AMB-2
0376,2026-07-01 09:07:18,IN,ESSL-DSE-1
0214,2026-07-01 09:07:29,IN,ESSL-NOI-1
0114,2026-07-01 09:07:42,IN,ESSL-AMB-1
0329,2026-07-01 09:07:47,IN,ESSL-DSE-2
0171,2026-07-01 09:07:55,IN,ESSL-AMB-1
0265,2026-07-01 09:07:57,IN,ESSL-DKB-1
0371,2026-07-01 09:07:58,IN,ESSL-DSE-1
0020,2026-07-01 09:08:26,IN,ESSL-HO-1
0129,2026-07-01 09:08:34,IN,ESSL-AMB-2
0173,2026-07-01 09:08:36,IN,ESSL-AMB-2
0374,2026-07-01 09:08:46,IN,ESSL-DSE-1
0002,2026-07-01 09:08:53,IN,ESSL-HO-1
0079,2026-07-01 09:08:55,IN,ESSL-CHD-1
0033,2026-07-01 09:08:57,IN,ESSL-HO-1
0339,2026-07-01 09:09:01,IN,ESSL-DSE-1
0331,2026-07-01 09:09:16,IN,ESSL-DSE-2
0038,2026-07-01 09:09:25,IN,ESSL-HO-1
0023,2026-07-01 09:09:33,IN,ESSL-HO-1
0164,2026-07-01 09:09:33,IN,ESSL-AMB-2
0303,2026-07-01 09:09:39,IN,ESSL-DKB-1
0240,2026-07-01 09:09:45,IN,ESSL-NOI-1
0139,2026-07-01 09:09:48,IN,ESSL-AMB-1
0176,2026-07-01 09:10:00,IN,ESSL-AMB-1
0170,2026-07-01 09:10:30,IN,ESSL-AMB-2
0301,2026-07-01 09:10:33,IN,ESSL-DKB-1
0115,2026-07-01 09:10:48,IN,ESSL-AMB-2
0131,2026-07-01 09:11:12,IN,ESSL-AMB-1
0384,2026-07-01 09:11:20,IN,ESSL-DSE-2
0246,2026-07-01 09:11:29,IN,ESSL-NOI-2
0003,2026-07-01 09:11:36,IN,ESSL-HO-1
0255,2026-07-01 09:11:41,IN,ESSL-NOI-1
0169,2026-07-01 09:11:44,IN,ESSL-AMB-1
0318,2026-07-01 09:11:46,IN,ESSL-DKB-1
0149,2026-07-01 09:11:51,IN,ESSL-AMB-2
0203,2026-07-01 09:11:51,IN,ESSL-NOI-1
0385,2026-07-01 09:11:52,IN,ESSL-DSE-1
0064,2026-07-01 09:11:53,IN,ESSL-CHD-2
0144,2026-07-01 09:12:07,IN,ESSL-AMB-2
0206,2026-07-01 09:12:17,IN,ESSL-NOI-1
0048,2026-07-01 09:12:19,IN,ESSL-CHD-1
0191,2026-07-01 09:12:34,IN,ESSL-NOI-1
0168,2026-07-01 09:12:53,IN,ESSL-AMB-1
0181,2026-07-01 09:12:56,IN,ESSL-AMB-1
0086,2026-07-01 09:13:07,IN,ESSL-CHD-1
0270,2026-07-01 09:13:16,IN,ESSL-DKB-2
0027,2026-07-01 09:13:19,IN,ESSL-HO-1
0338,2026-07-01 09:13:19,IN,ESSL-DSE-1
0274,2026-07-01 09:13:23,IN,ESSL-DKB-2
0210,2026-07-01 09:13:24,IN,ESSL-NOI-2
0184,2026-07-01 09:13:30,IN,ESSL-AMB-2
0243,2026-07-01 09:13:31,IN,ESSL-NOI-2
0228,2026-07-01 09:13:38,IN,ESSL-NOI-2
0163,2026-07-01 09:13:51,IN,ESSL-AMB-1
0049,2026-07-01 09:13:52,IN,ESSL-CHD-1
0025,2026-07-01 09:13:56,IN,ESSL-HO-1
0330,2026-07-01 09:13:58,IN,ESSL-DSE-1
0193,2026-07-01 09:14:01,IN,ESSL-NOI-1
0221,2026-07-01 09:14:03,IN,ESSL-NOI-1
0116,2026-07-01 09:14:38,IN,ESSL-AMB-1
0095,2026-07-01 09:14:40,IN,ESSL-CHD-2
0145,2026-07-01 09:14:58,IN,ESSL-AMB-1
0041,2026-07-01 09:15:17,IN,ESSL-CHD-1
0166,2026-07-01 09:15:22,IN,ESSL-AMB-2
0096,2026-07-01 09:15:40,IN,ESSL-CHD-1
0399,2026-07-01 09:15:41,IN,ESSL-DSE-2
0058,2026-07-01 09:15:57,IN,ESSL-CHD-1
0315,2026-07-01 09:16:03,IN,ESSL-DKB-2
0388,2026-07-01 09:16:08,IN,ESSL-DSE-1
0148,2026-07-01 09:16:10,IN,ESSL-AMB-2
0248,2026-07-01 09:16:10,IN,ESSL-NOI-2
0155,2026-07-01 09:16:17,IN,ESSL-AMB-1
0308,2026-07-01 09:16:17,IN,ESSL-DKB-2
0245,2026-07-01 09:16:28,IN,ESSL-NOI-1
0133,2026-07-01 09:16:33,IN,ESSL-AMB-1
0360,2026-07-01 09:16:42,IN,ESSL-DSE-2
0311,2026-07-01 09:17:00,IN,ESSL-DKB-1
0324,2026-07-01 09:17:01,IN,ESSL-DKB-2
0361,2026-07-01 09:17:01,IN,ESSL-DSE-2
